code;name;descr
AZ;Азербайджан;Республика Азейрбайджан
AM;Армения;Республика Армения
BY;Беларусь;Республика Беларусь
KZ;Казахстан;Республика Казахстан
KG;Киргизия;Республика Киргизия
MD;Молдавия;Республика Молдова
RU;Россия;Российская Федерация
TJ;Таджикистан;Республика Таджикистан
UZ;Узбекистан;Республика Узбекистан
TM;Туркмения;Туркменистан
UA;Украина;Украина
JP;Япония;Госудраство Япония
CN;Китай;Китайская Народная Республика
KR;Корея;Республика Корея
KP;КНДР;Корейская Народно-Демократическая Республика
