code;locale;name;descr
AZ;ru;Азербайджан;Республика Азейрбайджан
AM;ru;Армения;Республика Армения
BY;ru;Беларусь;Республика Беларусь
KZ;ru;Казахстан;Республика Казахстан
KG;ru;Киргизия;Республика Киргизия
MD;ru;Молдавия;Республика Молдова
RU;ru;Россия;Российская Федерация
TJ;ru;Таджикистан;Республика Таджикистан
UZ;ru;Узбекистан;Республика Узбекистан
TM;ru;Туркмения;Туркменистан
UA;ru;Украина;Украина
JP;ru;Япония;Госудраство Япония
CN;ru;Китай;Китайская Народная Республика
KR;ru;Корея;Республика Корея
KP;ru;КНДР;Корейская Народно-Демократическая Республика
